Symbol,Trade_Count,Profit_Trades,Loss_Trades,Portfolio_Value,Win_Loss_Perc,P/L_Perc,Pft_Per_Trd
BAJFINANCE,124.0,66.0,57.0,812164.25,53.0,712.0,574.0
RELAXO,105.0,48.0,56.0,257806.84,46.0,158.0,150.0
KOTAKBANK,95.0,48.0,46.0,208135.9,51.0,108.0,113.99999999999999
ASIANPAINT,91.0,45.0,45.0,190286.2,49.0,90.0,99.0
TITAN,108.0,51.0,56.0,165618.12,47.0,66.0,61.0
HDFCBANK,76.0,40.0,36.0,160676.39,53.0,61.0,80.0
RELIANCE,97.0,43.0,54.0,144591.96,44.0,45.0,46.0
HINDUNILVR,80.0,41.0,38.0,137793.46,51.0,38.0,48.0
PIDILITIND,102.0,43.0,59.0,131569.18,42.0,32.0,31.0
NESTLEIND,89.0,40.0,48.0,118263.98,45.0,18.0,20.0
ICICIBANK,102.0,42.0,60.0,117073.86,41.0,17.0,17.0
MOTHERSUMI,120.0,49.0,70.0,103908.37,41.0,4.0,3.0
SONATSOFTW,118.0,37.0,81.0,90967.18,31.0,-9.0,-8.0
INFY,89.0,42.0,46.0,89732.14,47.0,-10.0,-11.0
TCS,83.0,33.0,49.0,84191.46,40.0,-16.0,-19.0
ITC,84.0,29.0,54.0,55503.64,35.0,-44.0,-52.0
